Observed_Forward_Price,Predicted_Forward_Price,Filtered_Beta_1,Filtered_Beta_2
3.8006444174447567,3.707324911932405,3.6793584122002914,-0.058936127076427806
3.816392774412896,3.710332181801902,3.6828412014529044,-0.05880487940905168
3.824065726669004,3.713755648031448,3.686451210939556,-0.05869468330041961
3.837730400846291,3.717315849651605,3.6903552539214286,-0.058661658129324966
3.827553848801696,3.721204965488289,3.6938681577817407,-0.05846671522737455
3.824284091120139,3.7246297565272424,3.69719737030553,-0.058187065173978
3.8225358389266098,3.7278325691926564,3.700391448053209,-0.05784245492652429
3.849296175519841,3.730870885530874,3.704270936158844,-0.057695248481023885
3.844814255734696,3.734683837357909,3.7079205453714943,-0.057450891288848414
3.8533340090794663,3.73822299883737,3.711721038336677,-0.05722838590589514
3.8666071418976635,3.7419229209335274,3.7158059315430805,-0.05706436170498362
